place_id,place_name,country,admin_level,time_id,year,variable_id,value,unit,evidence_type,source_id,confidence,missing_reason,caveat,notes
NGA_ADM1_ABIA,Abia,NGA,ADM1,2012,2012,nighttime_lights_radiance_sum,10189.966,radiance_sum,REMOTE_SENSING_DERIVED,src_nasa_black_marble_training_nigeria,high,,,NASA Black Marble VNP46A4 annual raster zonal sum; example extraction published by World Bank Black Marble training materials
NGA_ADM1_ADAMAWA,Adamawa,NGA,ADM1,2012,2012,nighttime_lights_radiance_sum,1115.701,radiance_sum,REMOTE_SENSING_DERIVED,src_nasa_black_marble_training_nigeria,high,,,NASA Black Marble VNP46A4 annual raster zonal sum; example extraction published by World Bank Black Marble training materials
NGA_ADM1_AKWA_IBOM,Akwa Ibom,NGA,ADM1,2012,2012,nighttime_lights_radiance_sum,31580.150,radiance_sum,REMOTE_SENSING_DERIVED,src_nasa_black_marble_training_nigeria,high,,,NASA Black Marble VNP46A4 annual raster zonal sum; example extraction published by World Bank Black Marble training materials
NGA_ADM1_ANAMBRA,Anambra,NGA,ADM1,2012,2012,nighttime_lights_radiance_sum,8594.881,radiance_sum,REMOTE_SENSING_DERIVED,src_nasa_black_marble_training_nigeria,high,,,NASA Black Marble VNP46A4 annual raster zonal sum; example extraction published by World Bank Black Marble training materials
NGA_ADM1_BAUCHI,Bauchi,NGA,ADM1,2012,2012,nighttime_lights_radiance_sum,2761.556,radiance_sum,REMOTE_SENSING_DERIVED,src_nasa_black_marble_training_nigeria,high,,,NASA Black Marble VNP46A4 annual raster zonal sum; example extraction published by World Bank Black Marble training materials
NGA_ADM1_BAYELSA,Bayelsa,NGA,ADM1,2012,2012,nighttime_lights_radiance_sum,103600.742,radiance_sum,REMOTE_SENSING_DERIVED,src_nasa_black_marble_training_nigeria,high,,,NASA Black Marble VNP46A4 annual raster zonal sum; example extraction published by World Bank Black Marble training materials
NGA_ADM1_ABIA,Abia,NGA,ADM1,2013,2013,nighttime_lights_radiance_sum,7155.173,radiance_sum,REMOTE_SENSING_DERIVED,src_nasa_black_marble_training_nigeria,high,,,NASA Black Marble VNP46A4 annual raster zonal sum; example extraction published by World Bank Black Marble training materials
NGA_ADM1_ADAMAWA,Adamawa,NGA,ADM1,2013,2013,nighttime_lights_radiance_sum,1046.350,radiance_sum,REMOTE_SENSING_DERIVED,src_nasa_black_marble_training_nigeria,high,,,NASA Black Marble VNP46A4 annual raster zonal sum; example extraction published by World Bank Black Marble training materials
NGA_ADM1_AKWA_IBOM,Akwa Ibom,NGA,ADM1,2013,2013,nighttime_lights_radiance_sum,44040.727,radiance_sum,REMOTE_SENSING_DERIVED,src_nasa_black_marble_training_nigeria,high,,,NASA Black Marble VNP46A4 annual raster zonal sum; example extraction published by World Bank Black Marble training materials
NGA_ADM1_ANAMBRA,Anambra,NGA,ADM1,2013,2013,nighttime_lights_radiance_sum,9580.131,radiance_sum,REMOTE_SENSING_DERIVED,src_nasa_black_marble_training_nigeria,high,,,NASA Black Marble VNP46A4 annual raster zonal sum; example extraction published by World Bank Black Marble training materials
